Tip	test
35.00	34.96	-0.04
1522.00	1522.15	0.15
2119.00	2119.07	0.07
1451.00	1451.25	0.25
1617.00	1616.83	-0.17
1630.00	1629.95	-0.05
687.00	686.93	-0.07
903.00	903.37	0.37
652.00	652.16	0.16
1169.00	1168.88	-0.12
370.00	369.87	-0.13
1394.00	1393.67	-0.33
2282.00	2281.57	-0.43
944.00	943.99	-0.01
84.00	83.88	-0.12
89.00	88.96	-0.04
1030.00	1030.21	0.21
1461.00	1461.29	0.29
1072.00	1072.18	0.18
377.00	376.93	-0.07
868.00	868.08	0.08
1880.00	1880.00	-0.00
1328.00	1327.90	-0.10
129.00	128.98	-0.02
743.00	742.85	-0.15
1733.00	1732.80	-0.20
1779.00	1778.95	-0.05
1130.00	1129.90	-0.10
160.00	160.22	0.22
452.00	451.62	-0.38
1194.00	1193.50	-0.50
1818.00	1817.71	-0.29
2018.00	2017.53	-0.47
1730.00	1729.84	-0.16
1539.00	1538.82	-0.18
1288.00	1288.10	0.10
464.00	463.81	-0.19
684.00	683.62	-0.38
424.00	423.96	-0.04
871.00	871.00	0.00
565.00	565.15	0.15
1092.00	1092.26	0.26
1982.00	1981.54	-0.46
1309.00	1308.89	-0.11
1722.00	1722.34	0.34
642.00	641.91	-0.09
1374.00	1373.62	-0.38
9.00	8.97	-0.03
716.00	715.68	-0.32
1365.00	1364.83	-0.17
2048.00	2047.84	-0.16
2003.00	2002.77	-0.23
1068.00	1067.83	-0.17
816.00	815.97	-0.03
2049.00	2048.87	-0.13
1335.00	1335.17	0.17
1477.00	1477.13	0.13
185.00	185.34	0.34
560.00	560.39	0.39
872.00	871.64	-0.36
1852.00	1851.60	-0.40
778.00	778.03	0.03
236.00	236.30	0.30
1314.00	1314.11	0.11
294.00	294.16	0.16
692.00	691.75	-0.25
1400.00	1400.27	0.27
1543.00	1542.63	-0.37
904.00	904.18	0.18
614.00	613.69	-0.31
35.00	34.89	-0.11
1099.00	1098.65	-0.35
980.00	979.63	-0.37
1818.00	1817.59	-0.41
910.00	909.80	-0.20
2139.00	2138.92	-0.08
2124.00	2124.41	0.41
939.00	938.89	-0.11
1390.00	1389.98	-0.02
555.00	555.07	0.07
1487.00	1486.87	-0.13
1135.00	1135.14	0.14
549.00	549.02	0.02
1734.00	1733.89	-0.11
1927.00	1927.05	0.05
2112.00	2112.41	0.41
880.00	880.01	0.01
1924.00	1923.91	-0.09
808.00	808.06	0.06
28.00	27.90	-0.10
1418.00	1417.62	-0.38
449.00	448.93	-0.07
1644.00	1643.72	-0.28
353.00	353.12	0.12
610.00	610.02	0.02
1482.00	1481.63	-0.37
364.00	364.01	0.01
1970.00	1969.81	-0.19
1212.00	1212.20	0.20
1339.00	1338.92	-0.08
715.00	714.83	-0.17
353.00	352.80	-0.20
568.00	568.03	0.03
906.00	905.89	-0.11
778.00	777.93	-0.07
1947.00	1946.63	-0.37
1038.00	1037.77	-0.23
931.00	931.21	0.21
807.00	807.07	0.07
1294.00	1294.21	0.21
659.00	659.15	0.15
191.00	190.96	-0.04
202.00	201.85	-0.15
1231.00	1231.25	0.25
527.00	527.13	0.13
615.00	614.60	-0.40
1161.00	1160.86	-0.14
1517.00	1517.03	0.03
839.00	839.25	0.25
416.00	415.94	-0.06
1139.00	1139.13	0.13
1451.00	1451.45	0.45
6.00	6.11	0.11
1605.00	1604.94	-0.06
1624.00	1624.09	0.09
392.00	391.83	-0.17
2260.00	2259.73	-0.27
1405.00	1404.84	-0.16
1627.00	1626.55	-0.45
2287.00	2286.62	-0.38
489.00	488.81	-0.19
466.00	466.07	0.07
1630.00	1629.99	-0.01
2005.00	2004.54	-0.46
519.00	519.07	0.07
2259.00	2258.83	-0.17
299.00	298.87	-0.13
1089.00	1089.12	0.12
886.00	885.86	-0.14
1138.00	1137.84	-0.16
845.00	844.93	-0.07
1050.00	1050.03	0.03
131.00	130.89	-0.11
1405.00	1405.35	0.35
1224.00	1224.14	0.14
1575.00	1575.04	0.04
1474.00	1474.15	0.15
700.00	699.75	-0.25
676.00	676.14	0.14
1937.00	1936.97	-0.03
1519.00	1518.78	-0.22
2199.00	2199.16	0.16
496.00	495.74	-0.26
605.00	604.96	-0.04
607.00	606.56	-0.44
756.00	755.61	-0.39
372.00	371.87	-0.13
723.00	722.61	-0.39
2240.00	2240.00	0.00
997.00	996.69	-0.31
926.00	925.75	-0.25
194.00	194.11	0.11
874.00	874.49	0.49
1297.00	1296.83	-0.17
503.00	502.96	-0.04
411.00	411.20	0.20
375.00	374.83	-0.17
342.00	342.07	0.07
1832.00	1832.41	0.41
1331.00	1330.84	-0.16
1249.00	1248.75	-0.25
317.00	316.59	-0.41
1530.00	1529.97	-0.03
1159.00	1158.95	-0.05
1765.00	1764.88	-0.12
1761.00	1761.03	0.03
1825.00	1824.69	-0.31
1848.00	1847.67	-0.33
1869.00	1868.71	-0.29
2225.00	2225.32	0.32
2296.00	2295.88	-0.12
1353.00	1352.67	-0.33
859.00	859.12	0.12
827.00	827.05	0.05
1282.00	1281.97	-0.03
2273.00	2272.92	-0.08
1424.00	1424.09	0.09
2041.00	2040.91	-0.09
1667.00	1667.05	0.05
964.00	963.75	-0.25
435.00	434.90	-0.10
1579.00	1579.07	0.07
1174.00	1173.96	-0.04
801.00	800.91	-0.09
1219.00	1219.12	0.12
1089.00	1088.93	-0.07
1679.00	1679.00	-0.00
968.00	967.80	-0.20
732.00	731.92	-0.08
1331.00	1330.82	-0.18
374.00	373.98	-0.02
393.00	392.75	-0.25
352.00	351.79	-0.21
1560.00	1559.90	-0.10
762.00	761.98	-0.02
157.00	156.55	-0.45
1275.00	1274.66	-0.34
1853.00	1852.59	-0.41
1042.00	1041.88	-0.12
1599.00	1598.69	-0.31
2193.00	2192.73	-0.27
752.00	752.00	-0.00
995.00	995.46	0.46
1905.00	1905.28	0.28
1216.00	1216.12	0.12
1550.00	1549.78	-0.22
264.00	264.06	0.06
1022.00	1021.93	-0.07
1412.00	1412.28	0.28
1999.00	1998.58	-0.42
1458.00	1457.76	-0.24
2078.00	2077.94	-0.06
1068.00	1067.93	-0.07
467.00	467.02	0.02
171.00	170.66	-0.34
1113.00	1113.37	0.37
5.00	5.02	0.02
1108.00	1108.06	0.06
1886.00	1886.15	0.15
1084.00	1083.77	-0.23
106.00	106.03	0.03
1093.00	1092.52	-0.48
1769.00	1769.25	0.25
1960.00	1959.71	-0.29
1283.00	1282.96	-0.04
2294.00	2293.74	-0.26
1782.00	1781.61	-0.39
3.00	2.90	-0.10
1097.00	1097.36	0.36
1380.00	1380.39	0.39
739.00	739.00	0.00
2218.00	2217.62	-0.38
148.00	148.07	0.07
541.00	541.06	0.06
973.00	973.24	0.24
280.00	280.21	0.21
1735.00	1735.32	0.32
864.00	863.88	-0.12
282.00	281.98	-0.02
1800.00	1799.93	-0.07
1472.00	1471.63	-0.37
276.00	275.93	-0.07
1012.00	1011.95	-0.05
1317.00	1317.19	0.19
375.00	374.75	-0.25
1613.00	1613.08	0.08
2185.00	2185.13	0.13
247.00	246.90	-0.10
2216.00	2215.51	-0.49
1579.00	1578.81	-0.19
1389.00	1388.59	-0.41
2117.00	2116.87	-0.13
1789.00	1789.45	0.45
1515.00	1514.61	-0.39
1356.00	1355.74	-0.26
670.00	669.57	-0.43
1512.00	1512.09	0.09
344.00	343.69	-0.31
1534.00	1533.90	-0.10
1014.00	1013.66	-0.34
1668.00	1667.71	-0.29
1237.00	1236.92	-0.08
604.00	604.46	0.46
1934.00	1934.07	0.07
845.00	844.83	-0.17
1303.00	1302.96	-0.04
1501.00	1501.10	0.10
1067.00	1066.52	-0.48
1277.00	1277.00	0.00
65.00	64.91	-0.09
123.00	122.85	-0.15
1514.00	1513.96	-0.04
572.00	572.35	0.35
659.00	658.83	-0.17
2042.00	2041.98	-0.02
311.00	310.85	-0.15
2181.00	2181.03	0.03
1149.00	1149.05	0.05
244.00	244.26	0.26
1342.00	1342.01	0.01
2063.00	2063.00	-0.00
1987.00	1986.90	-0.10
2012.00	2012.00	-0.00
1274.00	1273.93	-0.07
152.00	151.96	-0.04
1347.00	1347.21	0.21
819.00	819.07	0.07
154.00	153.83	-0.17
1580.00	1579.66	-0.34
496.00	495.86	-0.14
1300.00	1300.12	0.12
2297.00	2296.62	-0.38
24.00	23.95	-0.05
36.00	36.02	0.02
1954.00	1953.80	-0.20
1482.00	1481.79	-0.21
2001.00	2000.71	-0.29
1339.00	1338.96	-0.04
2193.00	2192.71	-0.29
51.00	50.82	-0.18
404.00	403.60	-0.40
180.00	180.16	0.16
1415.00	1414.88	-0.12
2078.00	2077.92	-0.08
1494.00	1494.29	0.29
810.00	809.88	-0.12
443.00	442.91	-0.09
239.00	239.26	0.26
539.00	538.98	-0.02
1344.00	1343.86	-0.14
993.00	993.44	0.44
174.00	173.89	-0.11
509.00	509.19	0.19
1826.00	1826.36	0.36
1174.00	1173.92	-0.08
1686.00	1686.32	0.32
344.00	343.81	-0.19
1120.00	1119.92	-0.08
1262.00	1262.44	0.44
1560.00	1559.58	-0.42
385.00	384.97	-0.03
1248.00	1248.37	0.37
1411.00	1410.73	-0.27
1771.00	1770.88	-0.12
1104.00	1104.11	0.11
1662.00	1661.97	-0.03
1377.00	1376.80	-0.20
1812.00	1812.01	0.01
1396.00	1395.99	-0.01
147.00	146.67	-0.33
1635.00	1634.85	-0.15
1182.00	1182.03	0.03
2007.00	2006.78	-0.22
1391.00	1391.01	0.01
140.00	139.84	-0.16
1057.00	1056.54	-0.46
1091.00	1090.67	-0.33
603.00	602.89	-0.11
1427.00	1427.00	0.00
2254.00	2253.97	-0.03
1660.00	1659.89	-0.11
801.00	800.91	-0.09
934.00	933.71	-0.29
750.00	749.90	-0.10
1733.00	1733.09	0.09
1633.00	1633.12	0.12
2251.00	2251.23	0.23
1415.00	1414.98	-0.02
1496.00	1495.52	-0.48
816.00	816.03	0.03
1174.00	1173.74	-0.26
875.00	875.21	0.21
1263.00	1262.66	-0.34
551.00	550.96	-0.04
2108.00	2108.08	0.08
1332.00	1332.01	0.01
1837.00	1836.84	-0.16
1513.00	1513.19	0.19
464.00	463.81	-0.19
1154.00	1154.03	0.03
2053.00	2052.99	-0.01
612.00	612.38	0.38
1563.00	1562.60	-0.40
1698.00	1698.25	0.25
1574.00	1573.91	-0.09
77.00	76.91	-0.09
373.00	373.08	0.08
2220.00	2219.62	-0.38
1412.00	1411.82	-0.18
751.00	751.01	0.01
1521.00	1520.84	-0.16
888.00	888.05	0.05
2144.00	2143.72	-0.28
454.00	453.99	-0.01
252.00	252.29	0.29
1795.00	1795.09	0.09
1875.00	1875.10	0.10
52.00	51.99	-0.01
1995.00	1994.52	-0.48
1171.00	1170.96	-0.04
320.00	319.70	-0.30
1534.00	1533.94	-0.06
22.00	22.03	0.03
316.00	315.81	-0.19
670.00	669.96	-0.04
1027.00	1027.35	0.35
315.00	314.98	-0.02
1801.00	1801.02	0.02
542.00	541.85	-0.15
1701.00	1701.17	0.17
118.00	118.13	0.13
228.00	227.96	-0.04
1334.00	1334.49	0.49
1284.00	1284.17	0.17
336.00	335.88	-0.12
1048.00	1047.71	-0.29
426.00	426.08	0.08
185.00	184.92	-0.08
2171.00	2170.55	-0.45
615.00	614.74	-0.26
1695.00	1695.45	0.45
2242.00	2241.53	-0.47
625.00	625.04	0.04
794.00	793.53	-0.47
398.00	398.03	0.03
1004.00	1003.78	-0.22
183.00	182.74	-0.26
1202.00	1202.43	0.43
1374.00	1374.34	0.34
16.00	16.09	0.09
2155.00	2155.09	0.09
65.00	64.91	-0.09
645.00	645.08	0.08
